Player Name,Matches,Innings,Not Outs,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100,50,0,4s,6s,Batting_Style,Start_Year,End_Year,Overs,Maidens,Wickets,Best Bowling(Innings),Best Bowling(Match),Econ Rate,Bowling Strike Rate,5w in an Innings,10w in a Match,Start_year,End_year,Wkts_per_Match,Wkts_per_Innings,Bowling Style,Bowling Arm
KL Rahul,45,78,2,2604,199,34.26,5001,52.06,7,13,7,317,17,RHB,2014,2022,,,,,,,,,,,,,,,
AR Patel,8,16,,672,,14.29,,,,,,,,,,,290.2,70,47,6/38,11/70,2.31,37,5,1,2021,2022,5,2,Orthodox Spin,Left-arm
